Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_175.jpg;0;1;0;1.429972;114.3014;11.56161;1.245804;100.1513;-0.0008689868
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_242.jpg;0;1;0;1.492927;114.2859;11.65;1.251401;100.1408;-0.0009677897
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_309.jpg;0;1;0;1.540744;114.2645;11.77212;1.256169;100.1252;-0.0009764048
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_375.jpg;0;1;0;1.586238;114.248;11.86696;1.261409;100.1128;-0.0009736511
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_442.jpg;0;1;0;1.648006;114.231;11.96448;1.264215;100.1028;-0.0009794567
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_509.jpg;0;1;0;1.69493;114.2076;12.09879;1.269864;100.0888;-0.00103396
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_575.jpg;-1.993976;1;0;1.740758;114.19;12.20272;1.271084;99.98621;-0.0003998779
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_642.jpg;-6.064024;1;0;1.800084;114.1739;12.3096;1.272126;99.56754;0.0009988878
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_708.jpg;-2.101092;1;0;1.846554;114.1529;12.4565;1.275779;98.9942;0.000861004
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_776.jpg;-6.116896;1;0;1.890032;114.1381;12.56991;1.27757;98.46091;0.001533132
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_841.jpg;-6.091146;1;0;1.948149;114.1254;12.68612;1.274662;97.63437;0.001247232
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_909.jpg;-2.138772;1;0;1.994337;114.1079;12.84559;1.288668;96.95358;0.001173108
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_48_974.jpg;0;1;0;2.03766;114.0938;12.96821;1.300176;96.82291;-0.0006359048
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_041.jpg;0;1;0;2.097415;114.0793;13.0934;1.3058;96.78992;-0.001133752
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_108.jpg;0;1;0;2.142775;114.0596;13.26437;1.30663;96.77011;-0.001183098
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_175.jpg;0;1;0;2.186859;114.0446;13.39574;1.311229;96.75998;-0.001218747
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_240.jpg;0;1;0;2.245731;114.0292;13.52975;1.315344;96.74725;-0.001216654
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_308.jpg;0;1;0;2.288993;114.0084;13.71244;1.317504;96.73221;-0.001230059
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_375.jpg;0;1;0;2.333421;113.9924;13.85257;1.322523;96.72052;-0.001264162
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_442.jpg;0;1;0;2.391382;113.9762;13.99527;1.326586;96.71069;-0.001282758
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_508.jpg;0;1;0;2.434993;113.9542;14.18953;1.328452;96.69379;-0.001285902
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_575.jpg;0;1;0;2.478148;113.9373;14.33829;1.333021;96.68228;-0.001306701
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_642.jpg;0;1;0;2.53549;113.9202;14.48964;1.338985;96.67105;-0.001337295
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_710.jpg;0;1;0;2.577869;113.8971;14.69525;1.33696;96.65567;-0.001313288
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_775.jpg;0;1;0;2.621345;113.8794;14.85254;1.339773;96.6445;-0.0009021651
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_841.jpg;0;1;0;2.677741;113.8614;15.01244;1.348924;96.62994;-0.001362053
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_909.jpg;0;1;0;2.720154;113.8371;15.22941;1.350705;96.61414;-0.0013698
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_49_975.jpg;0;1;0;2.762724;113.8186;15.39508;1.350699;96.60223;-0.0009395654
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_041.jpg;0;1;0;2.818513;113.7999;15.56334;1.355832;96.58716;-0.001400981
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_108.jpg;-2.068691;1;0;2.860438;113.775;15.79155;1.358778;96.46826;-0.0009780593
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_176.jpg;-6.039248;1;0;2.901214;113.7588;15.96564;1.351288;95.93039;0.001052662
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_241.jpg;-6.134748;1;0;2.954022;113.7457;16.14228;1.338329;94.97284;359.9911
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_309.jpg;-1.963019;1;0;2.995751;113.7286;16.38193;1.334337;94.11307;-0.001979758
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_375.jpg;0;1;0;3.037115;113.7153;16.56499;1.358956;93.93384;-0.002946544
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_441.jpg;0;1;0;3.09035;113.7021;16.75021;1.36821;93.88663;-0.002983292
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_512.jpg;0;1;0;3.132521;113.685;17.00106;1.378381;93.86716;-0.00246031
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_574.jpg;0;1;0;3.172949;113.6723;17.19204;1.383933;93.85944;-0.002251691
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_641.jpg;0;1;0;3.226963;113.6598;17.38539;1.385897;93.85223;-0.002114008
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_708.jpg;0;1;0;3.267975;113.643;17.64701;1.389914;93.84003;-0.001726378
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_774.jpg;0;1;0;3.307686;113.6304;17.84603;1.391438;93.82861;-0.001145395
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_841.jpg;0;1;0;3.361126;113.6177;18.04751;1.39621;93.81357;-0.001123366
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_908.jpg;0;1;0;3.400989;113.6008;18.31978;1.397957;93.7916;-0.001595924
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_50_981.jpg;0;1;0;3.441446;113.588;18.52681;1.400743;93.77585;-0.001604774
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_51_046.jpg;0;1;0;3.493586;113.575;18.73624;1.405088;93.75906;-0.001611352
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_51_108.jpg;0;1;0;3.533018;113.5577;19.01914;1.409294;93.73654;-0.00164248
/home/mohit/RoboND-Rover-Project/my_testdata/IMG/robocam_2017_09_14_12_06_51_175.jpg;0;1;0;3.573048;113.5446;19.23404;1.411367;93.71982;-0.00164489
